id,title,description,status,priority,type,projectId,assigneeId,dueDate,isOverdue,version
1,Fix login,Login fails for some users,DONE,HIGH,BUG,1,,2020-01-01T00:00:00.000Z,false,6
2,Updated without version again,,IN_PROGRESS,MEDIUM,TECHNICAL,1,,,false,8
3,Audit test ticket updated,,TODO,MEDIUM,BUG,1,,,false,2
5,Blocked ticket,,DONE,MEDIUM,FEATURE,1,,,false,4
4,Blocker ticket,,DONE,MEDIUM,BUG,1,,,false,4
6,Fix login,Login fails for some users,DONE,HIGH,BUG,1,,2020-01-01T00:00:00.000Z,false,1
7,Updated without version again,,IN_PROGRESS,MEDIUM,TECHNICAL,1,,,false,1
8,Audit test ticket updated,,TODO,MEDIUM,BUG,1,,,false,1
9,Blocked ticket,,DONE,MEDIUM,FEATURE,1,,,false,1
10,Blocker ticket,,DONE,MEDIUM,BUG,1,,,false,1
